iter	Passed	Remaining
0	13	2697
1	26	2549
2	39	2502
3	51	2434
4	63	2408
5	76	2384
6	88	2355
7	101	2351
8	113	2330
9	125	2317
10	140	2337
11	152	2317
12	164	2296
13	178	2290
14	190	2275
15	204	2273
16	217	2266
17	229	2248
18	242	2233
19	254	2216
20	267	2202
21	280	2190
22	293	2179
23	305	2167
24	318	2152
25	331	2140
26	343	2126
27	356	2114
28	369	2105
29	381	2087
30	394	2073
31	406	2059
32	419	2046
33	432	2035
34	445	2025
35	460	2019
36	472	2005
37	485	1994
38	498	1982
39	511	1968
40	524	1957
41	537	1945
42	550	1932
43	563	1920
44	577	1912
45	590	1900
46	604	1891
47	619	1884
48	633	1874
49	647	1865
50	661	1854
51	675	1843
52	688	1832
53	702	1821
54	716	1809
55	730	1798
56	743	1786
57	756	1773
58	769	1760
59	785	1755
60	804	1753
61	820	1747
62	840	1746
63	857	1741
64	873	1734
65	889	1725
66	906	1718
67	922	1708
68	939	1701
69	954	1691
70	970	1681
71	986	1671
72	1000	1658
73	1014	1645
74	1029	1633
75	1043	1620
76	1057	1606
77	1070	1592
78	1084	1579
79	1098	1565
80	1112	1552
81	1124	1536
82	1140	1525
83	1161	1520
84	1177	1510
85	1194	1499
86	1212	1490
87	1228	1479
88	1246	1470
89	1263	1459
90	1279	1448
91	1293	1433
92	1306	1418
93	1318	1402
94	1330	1386
95	1342	1370
96	1354	1354
97	1367	1339
98	1379	1323
99	1391	1308
100	1404	1293
101	1417	1278
102	1430	1263
103	1443	1248
104	1455	1233
105	1469	1220
106	1482	1205
107	1497	1192
108	1511	1178
109	1525	1164
110	1538	1150
111	1551	1136
112	1565	1122
113	1580	1108
114	1594	1095
115	1606	1080
116	1620	1066
117	1634	1052
118	1648	1038
119	1662	1024
120	1674	1010
121	1686	995
122	1700	981
123	1714	967
124	1728	953
125	1741	939
126	1754	925
127	1767	911
128	1780	897
129	1794	883
130	1808	869
131	1821	855
132	1834	841
133	1846	826
134	1860	812
135	1873	799
136	1888	785
137	1902	771
138	1915	757
139	1927	743
140	1940	729
141	1952	714
142	1964	700
143	1977	686
144	1989	672
145	2003	658
146	2016	644
147	2028	630
148	2041	616
149	2054	602
150	2067	588
151	2080	574
152	2093	560
153	2106	547
154	2120	533
155	2133	519
156	2145	505
157	2158	491
158	2170	477
159	2182	463
160	2195	449
161	2206	435
162	2219	422
163	2230	408
164	2242	394
165	2255	380
166	2268	366
167	2281	353
168	2294	339
169	2307	325
170	2320	312
171	2333	298
172	2347	284
173	2360	271
174	2374	257
175	2387	244
176	2402	230
177	2415	217
178	2429	203
179	2443	190
180	2456	176
181	2469	162
182	2482	149
183	2495	135
184	2507	122
185	2520	108
186	2532	94
187	2545	81
188	2557	67
189	2569	54
190	2581	40
191	2593	27
192	2606	13
193	2619	0
